match_id,fecha,jornada,torneo,local,visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,shots_local,shots_visitante,shots_ot_local,shots_ot_visitante,xg_local,xg_visitante,corners_total,amarillas_total,rojas_total
5101814,2026-03-21,12,Liga MX Clausura 2026,Necaxa,Tijuana,3,0,6.0,1.0,0.0,2.0,0.0,0.0,19.0,9.0,8.0,2.0,2.39,0.64,7.0,2.0,0.0
5101815,2026-03-21,12,Liga MX Clausura 2026,Mazatlan FC,Cruz Azul,1,1,3.0,9.0,2.0,2.0,0.0,0.0,11.0,21.0,3.0,6.0,1.65,1.27,12.0,4.0,0.0
5101816,2026-03-21,12,Liga MX Clausura 2026,Atlas,Queretaro FC,0,0,3.0,7.0,0.0,2.0,0.0,0.0,17.0,13.0,3.0,2.0,0.71,0.62,10.0,2.0,0.0
5101818,2026-03-22,12,Liga MX Clausura 2026,Atletico de San Luis,Leon,1,2,5.0,2.0,3.0,2.0,0.0,0.0,8.0,20.0,4.0,9.0,0.69,1.47,7.0,5.0,0.0
5101819,2026-03-22,12,Liga MX Clausura 2026,Monterrey,Chivas,2,3,9.0,4.0,1.0,3.0,0.0,0.0,22.0,12.0,8.0,5.0,2.29,1.21,13.0,4.0,0.0
5101820,2026-03-22,12,Liga MX Clausura 2026,Pumas,CF America,1,0,2.0,4.0,3.0,3.0,0.0,0.0,8.0,10.0,3.0,4.0,1.35,0.39,6.0,6.0,0.0
5101817,2026-03-22,12,Liga MX Clausura 2026,Pachuca,Toluca,1,1,9.0,1.0,3.0,3.0,0.0,1.0,16.0,8.0,4.0,2.0,0.91,0.56,10.0,6.0,1.0
5101821,2026-03-22,12,Liga MX Clausura 2026,Santos Laguna,Puebla,2,1,11.0,4.0,5.0,1.0,0.0,1.0,17.0,18.0,9.0,5.0,2.93,1.45,15.0,6.0,1.0
5101822,2026-03-23,12,Liga MX Clausura 2026,FC Juarez,Tigres,2,1,7.0,3.0,4.0,4.0,0.0,1.0,20.0,13.0,6.0,4.0,0.96,0.54,10.0,8.0,1.0
5101823,2026-04-04,13,Liga MX Clausura 2026,Puebla,FC Juarez,1,1,8.0,9.0,2.0,0.0,1.0,0.0,11.0,16.0,7.0,3.0,1.01,1.4,17.0,2.0,1.0
5101825,2026-04-04,13,Liga MX Clausura 2026,Necaxa,Mazatlan FC,2,1,7.0,4.0,2.0,3.0,0.0,0.0,20.0,8.0,6.0,4.0,2.38,0.39,11.0,5.0,0.0
5101824,2026-04-04,13,Liga MX Clausura 2026,Tijuana,Tigres,1,0,1.0,7.0,6.0,4.0,0.0,0.0,6.0,13.0,1.0,6.0,0.24,1.31,8.0,10.0,0.0
5101826,2026-04-04,13,Liga MX Clausura 2026,Monterrey,Atletico de San Luis,1,2,4.0,9.0,2.0,3.0,0.0,0.0,15.0,14.0,7.0,6.0,0.74,1.02,13.0,5.0,0.0
5101830,2026-04-04,13,Liga MX Clausura 2026,Queretaro FC,Toluca,1,0,3.0,7.0,3.0,1.0,0.0,0.0,10.0,23.0,6.0,5.0,2.77,2.06,10.0,4.0,0.0
5101828,2026-04-05,13,Liga MX Clausura 2026,Cruz Azul,Pachuca,1,2,8.0,4.0,1.0,2.0,0.0,1.0,20.0,12.0,6.0,4.0,0.98,1.06,12.0,3.0,1.0
5101827,2026-04-05,13,Liga MX Clausura 2026,Leon,Atlas,2,0,10.0,3.0,2.0,2.0,0.0,1.0,17.0,11.0,6.0,3.0,1.54,0.37,13.0,4.0,1.0
5101829,2026-04-05,13,Liga MX Clausura 2026,Santos Laguna,CF America,1,1,3.0,4.0,3.0,0.0,1.0,0.0,9.0,19.0,4.0,5.0,0.39,1.28,7.0,3.0,1.0
5101831,2026-04-06,13,Liga MX Clausura 2026,Chivas,Pumas,2,2,8.0,1.0,3.0,7.0,0.0,0.0,28.0,6.0,12.0,2.0,2.69,0.8,9.0,10.0,0.0
5101776,2026-04-08,7,Liga MX Clausura 2026,Queretaro FC,FC Juarez,1,1,9.0,6.0,1.0,3.0,0.0,0.0,17.0,15.0,2.0,5.0,1.24,1.41,15.0,4.0,0.0
