fecha,liga,nombre_liga,pais,temporada,local,visitante,goles_local,goles_visita,odd_1,odd_X,odd_2,odd_over25,odd_under25
2024-03-03,premier,Premier League,England,2023/2024,Burnley,Bournemouth,0,2,3.79,3.83,1.96,1.7,2.1
2024-03-03,premier,Premier League,England,2023/2024,Man City,Man United,3,1,1.27,6.39,10.06,1.36,3.1
2024-03-04,premier,Premier League,England,2023/2024,Sheffield United,Arsenal,0,6,16.74,8.18,1.16,1.4,2.88
2024-03-09,premier,Premier League,England,2023/2024,Man United,Everton,2,0,1.84,3.93,4.2,1.67,2.15
2024-03-09,premier,Premier League,England,2023/2024,Bournemouth,Sheffield United,2,2,1.35,5.55,8.52,1.53,2.4
2024-03-09,premier,Premier League,England,2023/2024,Crystal Palace,Luton,1,1,1.77,3.95,4.58,1.75,2.05
2024-03-09,premier,Premier League,England,2023/2024,Wolves,Fulham,2,1,2.52,3.46,2.88,1.95,1.95
2024-03-09,premier,Premier League,England,2023/2024,Arsenal,Brentford,2,1,1.23,6.96,11.44,1.44,2.7
2024-03-10,premier,Premier League,England,2023/2024,Aston Villa,Tottenham,0,4,2.47,3.98,2.65,1.36,3.1
2024-03-10,premier,Premier League,England,2023/2024,Brighton,Nott'm Forest,1,0,1.81,4.01,4.26,1.62,2.25
2024-03-10,premier,Premier League,England,2023/2024,West Ham,Burnley,2,2,1.69,4.06,5.04,1.7,2.1
2024-03-10,premier,Premier League,England,2023/2024,Liverpool,Man City,1,1,3.02,3.8,2.28,1.5,2.5
2024-03-11,premier,Premier League,England,2023/2024,Chelsea,Newcastle,3,2,1.96,4.07,3.59,1.44,2.7
2024-03-13,premier,Premier League,England,2023/2024,Bournemouth,Luton,4,3,1.51,4.71,6.18,1.44,2.7
